DATE,BAIDU_NEG,BAIDU_POS
2020-12-24,0.0,1.0
2020-12-28,1.0,1.0
2020-12-29,2.0,0.0
2020-12-30,4.0,9.0
2020-12-31,26.0,37.0
2021-01-01,16.0,28.0
2021-01-02,12.0,20.0
2021-01-03,15.0,19.0
2021-01-04,30.0,33.0
2021-01-05,26.0,32.0
2021-01-06,31.0,21.0
2021-01-07,29.0,36.0
2021-01-08,27.0,43.0
2021-01-09,18.0,18.0
2021-01-10,19.0,11.0
2021-01-11,30.0,34.0
2021-01-12,39.0,30.0
2021-01-13,30.0,45.0
2021-01-14,27.0,37.0
2021-01-15,26.0,36.0
2021-01-16,16.0,12.0
2021-01-17,23.0,13.0
2021-01-18,35.0,31.0
2021-01-19,29.0,35.0
2021-01-20,35.0,32.0
2021-01-21,30.0,40.0
2021-01-22,37.0,34.0
2021-01-23,24.0,21.0
2021-01-24,25.0,19.0
2021-01-25,35.0,33.0
2021-01-26,29.0,43.0
2021-01-27,34.0,37.0
2021-01-28,41.0,42.0
2021-01-29,30.0,33.0
2021-01-30,30.0,23.0
2021-01-31,22.0,29.0
2021-02-01,31.0,37.0
2021-02-02,29.0,32.0
2021-02-03,35.0,35.0
2021-02-04,40.0,37.0
2021-02-05,31.0,34.0
2021-02-06,16.0,23.0
2021-02-07,17.0,21.0
2021-02-08,26.0,32.0
2021-02-09,24.0,26.0
2021-02-10,22.0,31.0
2021-02-11,18.0,35.0
2021-02-12,17.0,28.0
2021-02-13,34.0,23.0
2021-02-14,20.0,31.0
2021-02-15,15.0,21.0
2021-02-16,25.0,21.0
2021-02-17,35.0,42.0
2021-02-18,39.0,51.0
2021-02-19,34.0,46.0
2021-02-20,28.0,34.0
2021-02-21,17.0,31.0
2021-02-22,41.0,52.0
2021-02-23,39.0,47.0
2021-02-24,49.0,41.0
2021-02-25,35.0,44.0
2021-02-26,40.0,48.0
2021-02-27,28.0,24.0
2021-02-28,27.0,26.0
2021-03-01,31.0,25.0
2021-03-02,34.0,54.0
2021-03-03,41.0,49.0
2021-03-04,47.0,42.0
2021-03-05,47.0,51.0
2021-03-06,30.0,26.0
2021-03-07,21.0,21.0
2021-03-08,43.0,38.0
2021-03-09,50.0,29.0
2021-03-10,41.0,46.0
2021-03-11,44.0,38.0
2021-03-12,47.0,39.0
2021-03-13,25.0,26.0
2021-03-14,22.0,20.0
2021-03-15,40.0,36.0
2021-03-16,40.0,49.0
2021-03-17,38.0,49.0
2021-03-18,39.0,41.0
2021-03-19,51.0,41.0
2021-03-20,27.0,36.0
2021-03-21,27.0,20.0
2021-03-22,49.0,47.0
2021-03-23,44.0,40.0
2021-03-24,35.0,57.0
2021-03-25,53.0,51.0
2021-03-26,35.0,52.0
2021-03-27,32.0,29.0
2021-03-28,22.0,13.0
2021-03-29,34.0,21.0
2021-03-30,36.0,23.0
2021-03-31,30.0,35.0
2021-04-01,26.0,37.0
2021-04-02,24.0,16.0
2021-04-03,14.0,14.0
2021-04-04,17.0,16.0
2021-04-05,15.0,17.0
2021-04-06,33.0,19.0
2021-04-07,27.0,30.0
2021-04-08,27.0,35.0
2021-04-09,31.0,21.0
2021-04-10,19.0,24.0
2021-04-11,15.0,15.0
2021-04-12,31.0,36.0
2021-04-13,32.0,24.0
2021-04-14,28.0,24.0
2021-04-15,22.0,25.0
2021-04-16,27.0,31.0
2021-04-17,18.0,21.0
2021-04-18,21.0,17.0
2021-04-19,28.0,31.0
2021-04-20,31.0,26.0
2021-04-21,26.0,30.0
2021-04-22,30.0,29.0
2021-04-23,29.0,24.0
2021-04-24,22.0,16.0
2021-04-25,22.0,18.0
2021-04-26,29.0,25.0
2021-04-27,36.0,24.0
2021-04-28,31.0,34.0
2021-04-29,25.0,27.0
2021-04-30,15.0,17.0
2021-05-01,12.0,18.0
2021-05-02,14.0,20.0
2021-05-03,35.0,24.0
2021-05-04,32.0,32.0
2021-05-05,42.0,22.0
2021-05-06,42.0,24.0
2021-05-07,36.0,38.0
2021-05-08,25.0,15.0
2021-05-09,19.0,22.0
2021-05-10,42.0,31.0
2021-05-11,39.0,23.0
2021-05-12,38.0,39.0
2021-05-13,63.0,34.0
2021-05-14,49.0,37.0
2021-05-15,35.0,32.0
2021-05-16,28.0,22.0
2021-05-17,52.0,37.0
2021-05-18,58.0,47.0
2021-05-19,59.0,49.0
2021-05-20,54.0,46.0
2021-05-21,51.0,33.0
2021-05-22,37.0,18.0
2021-05-23,30.0,23.0
2021-05-24,53.0,38.0
2021-05-25,42.0,45.0
2021-05-26,56.0,53.0
2021-05-27,51.0,42.0
2021-05-28,40.0,40.0
2021-05-29,33.0,25.0
2021-05-30,39.0,26.0
2021-05-31,42.0,38.0
2021-06-01,39.0,54.0
2021-06-02,39.0,45.0
2021-06-03,45.0,38.0
2021-06-04,43.0,50.0
2021-06-05,25.0,31.0
2021-06-06,18.0,28.0
2021-06-07,40.0,47.0
2021-06-08,48.0,40.0
2021-06-09,53.0,55.0
2021-06-10,49.0,43.0
2021-06-11,51.0,45.0
2021-06-12,28.0,29.0
2021-06-13,26.0,29.0
2021-06-14,18.0,24.0
2021-06-15,48.0,41.0
2021-06-16,49.0,49.0
2021-06-17,49.0,44.0
2021-06-18,42.0,58.0
2021-06-19,30.0,26.0
2021-06-20,25.0,22.0
2021-06-21,42.0,56.0
2021-06-22,42.0,51.0
2021-06-23,43.0,53.0
2021-06-24,56.0,35.0
2021-06-25,49.0,48.0
2021-06-26,30.0,29.0
2021-06-27,32.0,18.0
2021-06-28,41.0,56.0
2021-06-29,35.0,32.0
2021-06-30,35.0,32.0
2021-07-01,32.0,23.0
2021-07-02,25.0,36.0
2021-07-03,18.0,19.0
2021-07-04,22.0,19.0
2021-07-05,35.0,28.0
2021-07-06,40.0,34.0
2021-07-07,25.0,39.0
2021-07-08,32.0,32.0
2021-07-09,33.0,28.0
2021-07-10,16.0,17.0
2021-07-11,12.0,19.0
2021-07-12,29.0,33.0
2021-07-13,34.0,25.0
2021-07-14,27.0,30.0
2021-07-15,28.0,29.0
2021-07-16,30.0,23.0
2021-07-17,19.0,13.0
2021-07-18,7.0,18.0
2021-07-19,39.0,23.0
