DATE,DEEPNLTK_NEG,DEEPNLTK_POS
2020-12-24,0.0,1.0
2020-12-28,0.0,2.0
2020-12-29,0.0,2.0
2020-12-30,2.0,11.0
2020-12-31,7.0,56.0
2021-01-01,4.0,40.0
2021-01-02,6.0,26.0
2021-01-03,5.0,29.0
2021-01-04,16.0,47.0
2021-01-05,11.0,47.0
2021-01-06,9.0,43.0
2021-01-07,11.0,54.0
2021-01-08,11.0,59.0
2021-01-09,8.0,28.0
2021-01-10,7.0,23.0
2021-01-11,12.0,52.0
2021-01-12,7.0,62.0
2021-01-13,11.0,64.0
2021-01-14,10.0,54.0
2021-01-15,5.0,57.0
2021-01-16,4.0,24.0
2021-01-17,8.0,28.0
2021-01-18,7.0,59.0
2021-01-19,11.0,53.0
2021-01-20,17.0,50.0
2021-01-21,11.0,59.0
2021-01-22,11.0,60.0
2021-01-23,8.0,37.0
2021-01-24,13.0,31.0
2021-01-25,14.0,54.0
2021-01-26,10.0,62.0
2021-01-27,10.0,61.0
2021-01-28,15.0,68.0
2021-01-29,5.0,58.0
2021-01-30,13.0,40.0
2021-01-31,8.0,43.0
2021-02-01,16.0,52.0
2021-02-02,8.0,53.0
2021-02-03,18.0,52.0
2021-02-04,21.0,56.0
2021-02-05,15.0,50.0
2021-02-06,5.0,34.0
2021-02-07,5.0,33.0
2021-02-08,11.0,47.0
2021-02-09,11.0,39.0
2021-02-10,5.0,48.0
2021-02-11,7.0,46.0
2021-02-12,4.0,41.0
2021-02-13,9.0,48.0
2021-02-14,4.0,47.0
2021-02-15,7.0,29.0
2021-02-16,6.0,40.0
2021-02-17,8.0,69.0
2021-02-18,20.0,70.0
2021-02-19,15.0,65.0
2021-02-20,11.0,51.0
2021-02-21,7.0,41.0
2021-02-22,12.0,81.0
2021-02-23,13.0,73.0
2021-02-24,15.0,75.0
2021-02-25,12.0,67.0
2021-02-26,15.0,73.0
2021-02-27,6.0,46.0
2021-02-28,8.0,45.0
2021-03-01,17.0,39.0
2021-03-02,14.0,74.0
2021-03-03,17.0,73.0
2021-03-04,19.0,70.0
2021-03-05,17.0,81.0
2021-03-06,8.0,48.0
2021-03-07,11.0,31.0
2021-03-08,13.0,68.0
2021-03-09,13.0,66.0
2021-03-10,15.0,72.0
2021-03-11,15.0,67.0
2021-03-12,14.0,72.0
2021-03-13,11.0,40.0
2021-03-14,10.0,32.0
2021-03-15,11.0,65.0
2021-03-16,18.0,71.0
2021-03-17,13.0,74.0
2021-03-18,13.0,67.0
2021-03-19,22.0,70.0
2021-03-20,6.0,57.0
2021-03-21,12.0,35.0
2021-03-22,19.0,77.0
2021-03-23,9.0,75.0
2021-03-24,24.0,68.0
2021-03-25,16.0,88.0
2021-03-26,18.0,69.0
2021-03-27,9.0,52.0
2021-03-28,8.0,27.0
2021-03-29,10.0,45.0
2021-03-30,17.0,42.0
2021-03-31,16.0,49.0
2021-04-01,9.0,54.0
2021-04-02,9.0,31.0
2021-04-03,3.0,25.0
2021-04-04,5.0,28.0
2021-04-05,7.0,25.0
2021-04-06,9.0,43.0
2021-04-07,11.0,46.0
2021-04-08,8.0,54.0
2021-04-09,11.0,41.0
2021-04-10,4.0,39.0
2021-04-11,6.0,24.0
2021-04-12,11.0,56.0
2021-04-13,13.0,43.0
2021-04-14,12.0,40.0
2021-04-15,5.0,42.0
2021-04-16,12.0,46.0
2021-04-17,5.0,34.0
2021-04-18,14.0,24.0
2021-04-19,16.0,43.0
2021-04-20,12.0,45.0
2021-04-21,11.0,45.0
2021-04-22,14.0,45.0
2021-04-23,11.0,42.0
2021-04-24,4.0,34.0
2021-04-25,6.0,34.0
2021-04-26,13.0,41.0
2021-04-27,18.0,42.0
2021-04-28,15.0,50.0
2021-04-29,13.0,39.0
2021-04-30,6.0,26.0
2021-05-01,6.0,24.0
2021-05-02,8.0,26.0
2021-05-03,13.0,46.0
2021-05-04,17.0,47.0
2021-05-05,18.0,46.0
2021-05-06,16.0,50.0
2021-05-07,13.0,61.0
2021-05-08,9.0,31.0
2021-05-09,5.0,36.0
2021-05-10,16.0,57.0
2021-05-11,10.0,52.0
2021-05-12,15.0,62.0
