DATE,LIKE,HAHA,LOVE,WOW,CARE,ANGRY,SAD
2020-12-24,199.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-12-28,1256.0,0.0,14.0,4.0,1.0,0.0,0.0
2020-12-29,3158.0,21.0,21.0,3.0,2.0,0.0,2.0
2020-12-30,9667.0,541.0,55.0,309.0,10.0,0.0,13.0
2020-12-31,15031.0,684.0,210.0,64.0,26.0,29.0,12.0
2021-01-01,17495.0,175.0,112.0,125.0,9.0,24.0,5.0
2021-01-02,8691.0,291.0,73.0,79.0,14.0,7.0,13.0
2021-01-03,4966.0,142.0,36.0,103.0,6.0,2.0,12.0
2021-01-04,26924.0,2679.0,176.0,278.0,44.0,9.0,41.0
2021-01-05,9681.0,617.0,37.0,132.0,6.0,11.0,4.0
2021-01-06,15816.0,1007.0,83.0,141.0,18.0,9.0,5.0
2021-01-07,25052.0,2221.0,109.0,133.0,43.0,39.0,27.0
2021-01-08,15328.0,354.0,155.0,125.0,29.0,18.0,60.0
2021-01-09,6457.0,127.0,47.0,51.0,6.0,49.0,7.0
2021-01-10,9468.0,331.0,29.0,276.0,8.0,39.0,302.0
2021-01-11,27169.0,3089.0,160.0,173.0,44.0,38.0,29.0
2021-01-12,12171.0,908.0,100.0,110.0,50.0,16.0,11.0
2021-01-13,19001.0,267.0,123.0,184.0,24.0,8.0,8.0
2021-01-14,16756.0,205.0,71.0,489.0,18.0,13.0,24.0
2021-01-15,14116.0,266.0,222.0,94.0,18.0,23.0,13.0
2021-01-16,5930.0,870.0,33.0,82.0,12.0,3.0,8.0
2021-01-17,10187.0,499.0,113.0,76.0,37.0,10.0,42.0
2021-01-18,20778.0,363.0,120.0,125.0,30.0,7.0,5.0
2021-01-19,11177.0,844.0,50.0,210.0,108.0,33.0,43.0
2021-01-20,18377.0,1149.0,157.0,170.0,56.0,60.0,36.0
2021-01-21,13625.0,513.0,103.0,143.0,413.0,11.0,55.0
2021-01-22,13062.0,319.0,110.0,88.0,66.0,14.0,12.0
2021-01-23,17368.0,1641.0,73.0,429.0,26.0,8.0,10.0
