DATE,CLOSING_INDEX
2020-12-01,13885.67
2020-12-02,13989.14
2020-12-03,13977.09
2020-12-04,14132.44
2020-12-05,14194.52
2020-12-06,14225.560000000001
2020-12-07,14256.6
2020-12-08,14360.4
2020-12-09,14390.14
2020-12-10,14249.49
2020-12-11,14261.69
2020-12-12,14236.369999999999
2020-12-13,14223.71
2020-12-14,14211.05
2020-12-15,14068.52
2020-12-16,14304.46
2020-12-17,14258.93
2020-12-18,14249.96
2020-12-19,14317.46
2020-12-20,14351.21
2020-12-21,14384.96
2020-12-22,14177.46
2020-12-23,14223.09
2020-12-24,14280.28
2020-12-25,14331.42
2020-12-26,14407.244999999999
2020-12-27,14445.1575
2020-12-28,14483.07
2020-12-29,14472.05
2020-12-30,14687.7
2020-12-31,14732.53
2021-01-01,14817.28
2021-01-02,14859.655
2021-01-03,14880.8425
2021-01-04,14902.03
2021-01-05,15000.03
2021-01-06,14983.13
2021-01-07,15214.0
2021-01-08,15463.95
2021-01-09,15510.625
2021-01-10,15533.9625
2021-01-11,15557.3
2021-01-12,15500.7
2021-01-13,15769.98
2021-01-14,15707.19
2021-01-15,15616.39
2021-01-16,15614.195
2021-01-17,15613.0975
2021-01-18,15612.0
2021-01-19,15877.37
2021-01-20,15806.18
2021-01-21,16153.77
2021-01-22,16019.03
2021-01-23,15982.785
2021-01-24,15964.6625
2021-01-25,15946.54
2021-01-26,15658.85
2021-01-27,15701.45
2021-01-28,15415.88
2021-01-29,15138.31
2021-01-30,15274.2
2021-01-31,15342.145
2021-02-01,15410.09
2021-02-02,15760.05
2021-02-03,15771.32
2021-02-04,15706.22
2021-02-05,15802.4
2021-02-06,16082.345000000001
2021-02-07,16222.317500000001
2021-02-08,16292.303750000001
2021-02-09,16327.296875
2021-02-10,16344.7934375
2021-02-11,16353.54171875
2021-02-12,16357.915859375
2021-02-13,16360.1029296875
2021-02-14,16361.19646484375
2021-02-15,16361.743232421875
2021-02-16,16362.016616210938
2021-02-17,16362.29
2021-02-18,16424.51
2021-02-19,16341.38
2021-02-20,16375.77
2021-02-21,16392.965
2021-02-22,16410.16
2021-02-23,16443.4
2021-02-24,16212.53
2021-02-25,16452.18
2021-02-26,15953.8
2021-02-27,15950.34
2021-02-28,15948.61
